run_id,timestamp,description,val_rmse,train_rmse,kept,notes
74,2026-05-06T17:24:36.131234,Manifold Mixup at layer 0 output (input-level Mixup disabled),1.2789,0.7173,no,delta=-0.0467; manifold mixup hurts vs input-level mixup
75,2026-05-06T17:28:59.788158,"Mixup alpha=0.45 with best config [1024,512,256]+modality_drop=0.10",1.2283,0.7215,no,near-miss: delta=+0.0039 < 0.01 threshold; better than alpha=0.5 (1.2314)
76,2026-05-06T17:31:45.556156,"embedding noise std=0.01 + Mixup best config [1024,512,256]+modality_drop=0.10",1.2472,0.7059,no,delta=-0.0150; noise hurts on top of mixup
77,2026-05-06T17:34:25.626091,cosine annealing LR T_max=100 eta_min=1e-6 + Mixup best config,1.2476,0.6372,no,delta=-0.0154; cosine LR hurts with Mixup config
78,2026-05-06T17:37:23.829038,"batch_size=128 + Mixup best config [1024,512,256]+modality_drop=0.10",1.2561,0.788,no,delta=-0.0239; smaller batch hurts
79,2026-05-06T17:39:04.169541,"Mixup alpha=0.5 + modality_drop=0.15 with [1024,512,256]",1.2626,0.8087,no,delta=-0.0304; combining two near-miss directions hurts
80,2026-05-06T17:40:56.451860,"LR=2e-4 with Mixup best config [1024,512,256]+modality_drop=0.10",1.2572,0.8705,no,delta=-0.0250; higher LR hurts with Mixup
81,2026-05-06T17:43:36.896932,"AdamW wd=5e-5 with Mixup best config [1024,512,256]+modality_drop=0.10",1.2386,0.718,no,delta=-0.0064; light wd still worse than Adam
82,2026-05-06T17:46:52.692161,"modality_drop=0.12 + Mixup best config [1024,512,256]",1.2452,0.7251,no,delta=-0.0130; p=0.12 worse than p=0.10
83,2026-05-06T17:49:02.741574,"Huber loss delta=1.0 + Mixup best config [1024,512,256]",1.2505,0.7082,no,delta=-0.0183; Huber loss hurts vs MSE
84,2026-05-06T17:51:29.067090,consistency regularization: dual forward pass lambda=0.1 + Mixup best config,1.2658,0.7553,no,delta=-0.0336; dual-pass consistency hurts
85,2026-05-06T17:53:30.317154,"label-only Mixup (target soft labels only, real embeddings)",1.3281,1.0784,no,"delta=-0.0959; input Mixup is essential, not just label smoothing"
86,2026-05-06T17:55:23.242103,cross-modal Mixup: independent drug/protein permutations with best config,1.285,0.9591,no,delta=-0.0528; decoupled drug/protein mixing hurts
87,2026-05-06T17:58:15.639341,"GELU activation + Mixup best config [1024,512,256]+modality_drop=0.10",1.2338,0.7139,no,"delta=-0.0016; very close, GELU slightly worse than ReLU with Mixup"
88,2026-05-06T18:00:49.295480,"orthogonal weight init + Mixup best config [1024,512,256]+modality_drop=0.10",1.2515,0.699,no,delta=-0.0193; orthogonal init hurts
89,2026-05-06T18:03:28.047252,annealed Mixup alpha 0.4->0.0 linearly over epochs + best config,1.2496,0.6862,no,delta=-0.0174; annealing Mixup hurts
90,2026-05-06T18:05:56.103802,"SiLU activation + Mixup best config [1024,512,256]+modality_drop=0.10",1.2443,0.7404,no,delta=-0.0121; SiLU worse than ReLU with Mixup
91,2026-05-06T18:08:28.259694,"Mish activation + Mixup best config [1024,512,256]+modality_drop=0.10",1.2573,0.7684,no,delta=-0.0251; Mish hurts vs ReLU
92,2026-05-06T18:11:53.224195,two-phase training: Mixup main phase then 20-epoch no-Mixup fine-tune,1.2373,0.6865,no,delta=-0.0051; fine-tune phase hurts
93,2026-05-06T18:13:53.483568,"BatchNorm momentum=0.01 + Mixup best config [1024,512,256]+modality_drop=0.10",1.2642,0.7829,no,delta=-0.0320; lower BN momentum hurts
94,2026-05-06T18:16:26.581800,Mixup alpha=0.43 fine-grained sweep with best config,1.2482,0.6999,no,delta=-0.0160; worse than alpha=0.4 and 0.45; non-monotonic
95,2026-05-06T18:20:08.467218,L2-normalize embeddings after LayerNorm + Mixup best config,1.2455,0.7342,no,delta=-0.0133; L2 normalization hurts
96,2026-05-06T18:22:58.328906,3-way Dirichlet Mixup (alpha=0.4) + best config,1.2488,0.7531,no,delta=-0.0166; 3-way mixing hurts vs 2-way
97,2026-05-06T18:25:58.623845,per-dimension learned feature weighting on drug+protein embeddings,1.2529,0.7246,no,delta=-0.0207; feature weighting hurts
98,2026-05-06T18:28:15.944079,"Mixup with max(lam, 1-lam) clamp (primary always >= 50%)",1.2486,0.7161,no,delta=-0.0164; clamped Mixup hurts
99,2026-05-06T18:31:12.835023,per-sample lambda Mixup (different lam per sample) + best config,1.2462,0.7137,no,delta=-0.0140; per-sample lambda hurts vs single lambda per batch
100,"drug-only Mixup (mix drug embeddings only, protein unchanged)",1.2699,0.8924,regression,,
101,residual connections + Mixup best config (skip connections in every hidden block),1.2614,0.6979,regression,,
102,bilinear elementwise product fusion (drug_proj*prot_proj 512-dim appended),1.2822,0.7787,regression,,
103,InstanceNorm instead of BatchNorm - CRASHED: InstanceNorm1d incompatible with 2D linear output in this PyTorch version,NaN,NaN,crash,,
104,no LayerNorm on inputs - feed raw embeddings (Identity in place of LayerNorm),1.2825,0.8464,regression,,
105,"Mixup alpha=0.45 + hidden dims [1024,512,512] (widen last layer with best alpha)",1.2498,0.7413,regression,,
106,"separate modality Mixup lambdas (independent lam_drug and lam_prot from Beta, same idx)",1.2501,0.8324,regression,,
107,dropout=0.3 on last hidden layer only (other layers p=0.2),1.239,0.7041,regression,,
108,"drug-protein dot product interaction feature (proj to 128, dot scalar appended to MLP input)",1.244,0.7552,regression,,
109,Mixup alpha=0.46 (between near-miss 0.45 and 0.50),1.2686,0.7811,regression,,
110,Mixup alpha=0.44 (between best 0.40 and near-miss 0.45),1.2449,0.6981,regression,,
111,"protein-only Mixup (protein mixed, drug unchanged, labels mixed)",1.3154,0.852,regression,,
